"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1NYNY0074","NEW YORK 8.8 N, NY US","2020-12-01",,,,
"US1NYNY0074","NEW YORK 8.8 N, NY US","2020-12-08",,,,
"US1NYNY0074","NEW YORK 8.8 N, NY US","2020-12-09",,,,
"US1NYNY0074","NEW YORK 8.8 N, NY US","2020-12-15",,,,
"US1NYNY0074","NEW YORK 8.8 N, NY US","2020-12-18",,,,
"US1NYNY0074","NEW YORK 8.8 N, NY US","2020-12-24",,,,
"US1NYNY0074","NEW YORK 8.8 N, NY US","2020-12-25",,,,
"US1NYNY0074","NEW YORK 8.8 N, NY US","2020-12-26",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-01",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-02",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-03",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-04",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-05",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-06",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-07",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-08",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-09",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-10",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-11",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-12",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-13",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-14",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-15",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-16",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-17",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-18",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-19",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-20",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-21",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-22",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-23",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-24",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-25",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-26",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-27",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-28",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-29",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-30",,,,
"US1NJBG0023","OAKLAND 0.9 SSE, NJ US","2020-12-31",,,,
"USC00280907","BOONTON 1 SE, NJ US","2020-12-01",,"64","44","49"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-02",,"49","34","35"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-03",,"41","29","30"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-04",,"47","30","40"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-05",,"49","40","42"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-06",,"46","34","35"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-07",,"38","27","27"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-08",,"37","26","30"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-09",,"35","26","31"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-10",,"37","29","33"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-11",,"46","25","25"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-13",,"47","35","38"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-14",,"56","38","38"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-15",,"39","30","31"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-16",,"37","22","22"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-17",,"27","21","24"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-18",,"31","19","22"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-19",,,,
"USC00280907","BOONTON 1 SE, NJ US","2020-12-20",,"30","10","25"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-22",,"44","32","34"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-23",,"43","32","34"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-24",,"42","30","35"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-25",,"63","35","56"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-26",,"56","23","23"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-27",,"30","22","23"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-28",,"37","23","33"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-29",,"47","32","34"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-30",,"36","24","26"
"USC00280907","BOONTON 1 SE, NJ US","2020-12-31",,"42","26","41"
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-01",,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-02",,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-03",,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-04",,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-05",,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-06",,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-07",,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-08",,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-09",,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-10",,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-11",,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-12",,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-13",,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-14",,,,
"US1NJMD0043","WOODBRIDGE TWP 1.1 ESE, NJ US","2020-12-15",,,,
